pos,freqA,freqC,freqG,freqT,relWeightA,relWeightC,relWeightG,relWeightT,correctedRelWeightA,correctedRelWeightC,correctedRelWeightG,correctedRelWeightT
1,1,0,0,0,1.9456377116,,,,1.9439575543,,,
2,0,0,0,1,,,,2.1942948152,,,,2.1926146579
3,0,0,1,0,,,1.9285118944,,,,1.9268317371,
4,0.2026397516,0.1319875776,0.5054347826,0.1599378882,-0.35737317,-0.9736635653,0.9441087495,-0.4501215358,-0.3590533273,-0.9753437226,0.9424285922,-0.451801693
5,0.2833850932,0.4130434783,0.1692546584,0.1343167702,0.1264734872,0.6722279341,-0.6342206589,-0.7019938353,0.1247933299,0.6705477768,-0.6359008162,-0.7036739926
6,0.1785714286,0.2368012422,0.3625776398,0.2220496894,-0.5397891156,-0.130389069,0.464873756,0.0232492738,-0.5414692729,-0.1320692263,0.4631935987,0.0215691166
7,0.2492236025,0.2135093168,0.3812111801,0.1560559006,-0.0588496794,-0.279766693,0.5371742306,-0.4855703718,-0.0605298367,-0.2814468503,0.5354940733,-0.487250529
8,0.2841614907,0.3214285714,0.200310559,0.1940993789,0.1304206717,0.310432456,-0.3911777283,-0.1708377783,0.1287405145,0.3087522988,-0.3928578855,-0.1725179356
9,0.1917701863,0.3051242236,0.3144409938,0.1886645963,-0.436911935,0.2353310008,0.2593731141,-0.2118095593,-0.4385920922,0.2336508435,0.2576929568,-0.2134897166
10,0.2593167702,0.2507763975,0.3159937888,0.1739130435,-0.0015748741,-0.0476641468,0.2664800006,-0.3292671409,-0.0032550314,-0.049344304,0.2647998433,-0.3309472982
11,0.2670807453,0.2779503106,0.2135093168,0.2414596273,0.0409855881,0.1007612758,-0.2991171753,0.1441487072,0.0393054309,0.0990811185,-0.3007973326,0.1424685499
12,0.2111801242,0.2888198758,0.3066770186,0.1933229814,-0.2978163253,0.1561043097,0.2233038594,-0.1766201309,-0.2994964826,0.1544241524,0.2216237021,-0.1783002882
13,0.2686335404,0.2360248447,0.3454968944,0.1498447205,0.0493490611,-0.135126988,0.3952565422,-0.5441650257,0.0476689038,-0.1368071453,0.3935763849,-0.545845183
14,0.275621118,0.2430124224,0.25,0.2313664596,0.0863960478,-0.0930356545,-0.0714881056,0.0825464575,0.0847158906,-0.0947158118,-0.0731682629,0.0808663002
15,0.173136646,0.274068323,0.3501552795,0.2026397516,-0.5843792666,0.0804698718,0.4145786396,-0.1087160664,-0.5860594239,0.0787897146,0.4128984823,-0.1103962237
16,0.2344720497,0.25,0.3586956522,0.1568322981,-0.1468744272,-0.0521376233,0.4493440577,-0.4784105802,-0.1485545845,-0.0538177806,0.4476639004,-0.4800907375
17,0.299689441,0.2694099379,0.2267080745,0.2041925466,0.2071778707,0.0557373511,-0.2125804248,-0.0977030737,0.2054977134,0.0540571939,-0.2142605821,-0.0993832309
18,0.1785714286,0.3128881988,0.3167701863,0.1917701863,-0.5397891156,0.2715815271,0.2700203583,-0.1882548314,-0.5414692729,0.2699013698,0.268340201,-0.1899349886
19,0.2554347826,0.2670807453,0.3198757764,0.1576086957,-0.0233353928,0.0432102533,0.2840955435,-0.4712861458,-0.0250155501,0.041530096,0.2824153862,-0.472966303
